Area,BHK,Bathroom,Furnishing,Locality,Parking,Status,Transaction,Type,Per_Sqft,Price
800.0,3,2.0,1,281,1.0,1,0,1,11291.5,6500000
750.0,2,2.0,1,138,1.0,1,0,0,6667.0,5000000
950.0,2,2.0,0,48,1.0,1,1,0,6667.0,15500000
600.0,2,2.0,1,279,1.0,1,1,1,6667.0,4200000
650.0,2,2.0,1,280,1.0,1,0,1,6667.0,6200000
1300.0,4,3.0,1,279,1.0,1,0,1,6667.0,15500000
1350.0,4,3.0,1,279,1.0,1,1,1,6667.0,10000000
650.0,2,2.0,1,92,1.0,1,0,0,6154.0,4000000
985.0,3,3.0,2,276,1.0,0,0,1,6154.0,6800000
1300.0,4,4.0,1,277,1.0,1,0,1,6154.0,15000000
1100.0,3,2.0,1,275,1.0,1,0,1,6154.0,6200000
870.0,3,2.0,1,281,1.0,1,0,1,6154.0,7700000
630.0,2,2.0,1,279,1.0,1,0,1,6154.0,5500000
660.0,2,2.0,1,279,1.0,1,1,1,6154.0,5000000
344.4448,2,2.0,1,284,1.0,1,1,1,6154.0,3310000
660.0,2,2.0,1,282,1.0,1,0,1,6154.0,4700000
550.0,2,2.0,1,277,1.0,1,0,1,6154.0,4500000
1100.0,4,3.0,1,272,1.0,1,0,1,6154.0,17000000
1150.0,3,3.0,1,271,1.0,1,1,0,6154.0,25000000
650.0,2,2.0,1,279,1.0,1,1,1,6154.0,6000000
850.0,2,2.0,1,192,1.0,1,1,0,6154.0,11000000
900.0,3,2.0,1,353,5.0,1,1,1,6154.0,4500000
430.556,1,1.0,0,273,2.0,1,1,0,6154.0,5300000
900.0,2,2.0,1,243,1.0,1,1,0,6154.0,10500000
914.9315,2,2.0,1,283,1.0,1,1,1,6154.0,12000000
1100.0,3,3.0,0,275,1.0,1,0,1,6364.0,7000000
800.0,3,2.0,1,281,1.0,1,1,1,8750.0,7000000
500.0,1,1.0,1,301,1.0,1,1,0,8750.0,3400000
2160.0,4,4.0,0,274,1.0,1,0,1,9722.0,21000000
1500.0,1,2.0,2,168,1.0,1,1,0,11291.5,13500000
800.0,2,2.0,2,167,1.0,1,0,1,11291.5,15000000
900.0,2,2.0,2,166,1.0,1,0,1,11291.5,10500000
1080.0,3,2.0,1,354,1.0,1,0,1,11291.5,22500000
750.0,2,2.0,2,170,1.0,1,0,1,11291.5,13600000
1450.0,3,3.0,1,169,2.0,1,0,1,11291.5,30000000
900.0,2,2.0,1,166,1.0,1,0,0,11291.5,13500000
810.0,2,2.0,1,88,1.0,1,1,1,11291.5,8910000
1350.0,3,4.0,2,166,1.0,1,1,0,11291.5,25000000
1710.0,3,3.0,1,168,4.0,1,0,1,11291.5,26000000
1650.0,3,3.0,1,166,1.0,1,1,1,11291.5,30000000
1280.0,2,2.0,0,166,1.0,1,1,1,11291.5,12500000
1260.0,3,3.0,1,169,1.0,1,1,1,11291.5,21000000
1130.0,2,2.0,2,170,1.0,1,1,1,11291.5,7800000
600.0,2,2.0,1,8,1.0,1,0,1,11291.5,11500000
850.0,2,2.0,1,167,1.0,1,1,1,11291.5,11500000
1500.0,3,3.0,1,168,2.0,1,0,1,11291.5,26000000
900.0,2,2.0,1,8,2.0,1,0,1,14444.0,13000000
1000.0,3,3.0,1,354,1.0,1,0,1,22000.0,22000000
900.0,2,2.0,1,168,1.0,1,0,1,22000.0,15800000
2925.0,4,4.0,2,169,2.0,1,0,1,22000.0,57500000
900.0,2,2.0,2,167,2.0,1,1,1,22000.0,10000000
1600.0,3,3.0,2,169,2.0,1,0,1,22000.0,30000000
1143.0,3,3.0,2,354,2.0,1,0,1,22000.0,22000000
1150.0,3,3.0,1,354,2.0,1,0,1,22000.0,24000000
1500.0,3,3.0,1,169,1.0,1,1,1,22000.0,31500000
850.0,2,2.0,1,168,1.0,1,1,1,22000.0,14600000
8000.0,4,5.0,1,166,1.0,1,0,1,22000.0,240000000
890.0,2,2.0,1,167,1.0,1,1,1,22000.0,8300000
1100.0,3,3.0,2,354,1.0,1,0,1,22000.0,22500000
750.0,1,1.0,0,61,2.0,1,1,0,11291.5,4600000
850.0,2,1.0,1,325,2.0,1,0,0,2235.0,1900000
1350.0,3,2.0,2,175,1.0,1,0,0,3800.0,5130000
1387.0,4,4.0,2,91,1.0,1,0,0,4247.0,5890000
1050.0,3,2.0,2,339,1.0,1,0,0,3524.0,3700000
1500.0,3,2.0,2,162,1.0,1,1,0,3524.0,17400000
1200.0,3,3.0,1,19,1.0,1,1,0,3524.0,15500000
700.0,2,1.0,1,175,1.0,0,0,0,3524.0,2400000
1700.0,3,2.0,1,333,1.0,1,1,0,3524.0,17200000
1550.0,3,2.0,0,323,2.0,1,1,0,3524.0,14200000
1400.0,3,3.0,1,47,1.0,1,1,0,3524.0,13500000
