Area,BHK,Bathroom,Furnishing,Locality,Parking,Status,Transaction,Type,Per_Sqft,Price
28,2,2,Furnished,Rohini,1,Ready_to_move,New_Property,Apartment,8750,5000000
35,3,2,Semi-Furnished,Okhla,2,Ready_to_move,Resale,Apartment,19841,4950000
45,4,3,Unfurnished,Okhla,1,Ready_to_move,New_Property,Builder_Floor,18750,5500000
45,4,3,Unfurnished,Okhla,1,Ready_to_move,New_Property,Builder_Floor,18750,5500000
50,1,1,Unfurnished,Manglapuri,1,Ready_to_move,Resale,Builder_Floor,8333,1500000
50,1,1,Unfurnished,Narela,39,Ready_to_move,New_Property,Apartment,5128,3500000
50,1,1,Semi-Furnished,Narela,1,Ready_to_move,New_Property,Apartment,5051,3500000
50,2,1,Semi-Furnished,"Shastri Park, Shahdara",1,Ready_to_move,New_Property,Apartment,6667,1950000
58,2,1,Unfurnished,Geeta Colony,1,Ready_to_move,Resale,Apartment,6667,3800000
61,3,3,Unfurnished,Narela,1,Ready_to_move,Resale,Apartment,4270,4000000
65,3,2,Semi-Furnished,Shahdara,,Ready_to_move,New_Property,Apartment,7143,35000000
66,3,1,Unfurnished,Patel Nagar,1,Ready_to_move,New_Property,Apartment,24242,1600000
70,2,3,Furnished,Patel Nagar,1,Ready_to_move,New_Property,Builder_Floor,23840,8200000
70,1,2,Unfurnished,"Yamuna Vihar, Shahdara",1,Ready_to_move,Resale,Apartment,5357,4500000
75,2,2,Semi-Furnished,Budh Vihar,1,Ready_to_move,Resale,Builder_Floor,40000,3000000
100,3,2,Furnished,Budh Vihar,1,Ready_to_move,New_Property,Builder_Floor,43000,4300000
100,3,2,Unfurnished,Geeta Colony,1,Ready_to_move,Resale,Builder_Floor,6667,5500000
100,3,2,Semi-Furnished,Malviya Nagar,1,Ready_to_move,Resale,Builder_Floor,14888,17000000
100,3,2,Semi-Furnished,Patel Nagar,2,Ready_to_move,Resale,Apartment,160000,16000000
125,3,3,Semi-Furnished,Chittaranjan Park,2,Ready_to_move,New_Property,Builder_Floor,6878,11500000
140,3,2,Unfurnished,Patel Nagar,1,Ready_to_move,New_Property,Builder_Floor,85714,12000000
150,2,1,Semi-Furnished,Safdarjung Enclave,1,Ready_to_move,Resale,Apartment,14818,2000000
173,2,2,Unfurnished,Mehrauli,1,Ready_to_move,Resale,Builder_Floor,3667,3500000
195,3,3,Semi-Furnished,"Punjabi Bagh Extension, Punjabi Bagh",1,Almost_ready,New_Property,Builder_Floor,11905,28000000
198,1,1,Furnished,Narela,1,Ready_to_move,Resale,Apartment,5051,1000000
200,1,1,Semi-Furnished,Patel Nagar,1,Ready_to_move,Resale,Apartment,13333,7000000
210,1,1,Semi-Furnished,Narela,39,Ready_to_move,New_Property,Apartment,5128,2000000
236.8058,1,1,Unfurnished,Narela,1,Ready_to_move,Resale,Apartment,4221,2000000
